error:منہگا: candidates: مہیا مہنگی مہنگا تنہا مہنگے میگا منگل منا منہ سنہا status: found مہنگا 
error:قیموں: candidates: قیمت کیوں چیزوں فلموں قیمتی قیمتیں ماموں تینوں یوں قیمتوں status: found قیمتوں 
error:پاکسانی: candidates: اسکانی انسانی خاکساری پسانی پاکستان اکسانی اکسانے یکسانی پاکستانی اکساتی status: found پاکستانی 
error:لیتر: candidates: بہتر لیے لیا لیکن تیار چیت لینڈ دیگر زیر غیر status: not found 
error:قیموں: candidates: قیمت کیوں چیزوں فلموں قیمتی قیمتیں ماموں تینوں یوں قیمتوں status: found قیمتوں 
error:منزر: candidates: نظر مگر انٹر سمندر منڈی نمبر ماہر موٹر ملزم میٹر status: not found 
error:امجرم: candidates: ماجرا جرم اخرم امیر اجرد انجری امیری امور انجام مجرم status: found مجرم 
error:افرا: candidates: اگر افراد ارب ایران افغان سفری ایسا ادا اپنا اور status: found افراد 
error:اکلے: candidates: پہلے کلو حملے لے اسے اے اپنے کیے کے والے status: not found 
error:کپمنی: candidates: کہانی کمپنی جرمنی کرنی کےپانی اپنی پانی کمی ضمنی کمپری status: found کمپنی 
error:تعڈاد: candidates: تعدادی توڈا عماد تعقید عیاد عناد تعبد معتاد اعداد تعداد status: found تعداد 
error:سنیی: candidates: نیب نیا سفری سمیت سعید سن سی نجی دنیا سونیا status: not found 
error:نتقید: candidates: بقید نازید تعقید متقید تنقیض تنفید قید تنقید نوید تنقیدی status: found تنقید 
error:نزر: candidates: نے پر وزیر صدر نہ طور کر شہر نام اور status: not found 
error:فوحی: candidates: ہوگی قومی فی فون پوری فورس ہوتی فوجی فوج فوری status: found فوجی 
error:لیکین: candidates: پیکیج الیکشن لیڈی لیکن سلیکشن کلین لین یقین ایکشن لیکس status: found لیکن 
error:گرید: candidates: شدید گرنے امید گیا کردی گرد شریف مزید گی ترین status: not found 
error:توق: candidates: دو تین وہ ہو تو کو تک جو ہوا اور status: not found 
error:نوٹیس: candidates: چوبیس نوشی فوٹیج نوٹ لوٹی نوٹی نویس نوید نفیس پولیس status: not found 
error:یبان: candidates: بیان بات بن یا بنا ان بار خان جان بین status: found بیان 
error:بجکہ: candidates: بلکہ بجلی ہےکہ کہ بجٹ بک وجہ بچہ جبکہ جگہ status: found جبکہ 
